Time,Distance,zero_C,angle_Cnt,lookAround,isLoitering
31.4583,23.1175,3,17,7,1
31.9167,23.2221,2,15,8,1
12.5417,10.8351,1,5,1,1
16.5833,14.9577,3,13,4,1
26.9167,17.3933,7,14,2,1
14.3333,14.8543,2,9,5,1
14.5833,7.51438,4,10,5,1
25.0833,14.3247,6,7,0,1
16.9583,12.6516,2,7,3,1
23.375,13.1124,4,12,2,1
13.3333,11.4553,2,4,0,1
14.2917,11.8898,0,3,8,1
26.5833,13.0495,8,20,1,1
38.9583,24.185,0,25,8,1
43.625,20.4282,6,29,4,1
72.75,35.8049,6,39,1,1
44.0417,34.653,9,22,2,1
17.6667,16.6528,1,8,7,1
44.0417,29.6128,4,18,1,1
40.0833,28.205,4,24,22,1
12.3333,11.1329,1,2,1,0
12.25,12.694,2,8,1,0
11,12.3005,1,2,0,0
8.91667,20.9241,1,2,2,0
9.41667,12.0872,3,4,1,0
8.875,12.0469,0,1,2,0
9.33333,12.3149,0,0,1,0
8.79167,10.1391,0,1,0,0
5.58333,5.75924,0,0,4,0
10.3333,10.477,1,2,0,0
11.125,12.3172,0,0,1,0
12.75,11.6551,0,2,1,0
19.25,11.8212,1,11,4,0
9.83333,12.4677,0,1,5,0
11.4583,12.9549,1,7,3,0
9.33333,10.4189,2,7,3,0
8.79167,10.3855,0,3,0,0
11.3333,12.2287,0,11,1,0
9.875,10.157,1,6,4,0
10.25,10.6951,1,3,1,0
